id;name;information;price;category_id;origin_id;img
1;Oatcake;An oatcake is a type of flatbread similar to a cracker or biscuit,or in some versions takes the form of a pancake. They are prepared with oatmeal as the primary ingredient, and sometimes include plain or wholemeal flour as well. Oatcakes are cooked on a griddle (girdle in Scots) or baked in an oven.;1.50 €;1;1;https://en.wikipedia.org/wiki/Oatcake#/media/File:Oatcakes_(1).jpg
2;Pizza;Pizza (Italian: [ˈpittsa], Neapolitan: [ˈpittsə]) is a savory dish of Italian origin consisting of a usually round, flattened base of leavened wheat-based dough topped with tomatoes, cheese, and often various other ingredients (such as anchovies, mushrooms, onions, olives, pineapple, meat, etc.) which is then baked at a high temperature, traditionally in a wood-fired oven. A small pizza is sometimes called a pizzetta.;10.00 €;1;2;https://upload.wikimedia.org/wikipedia/commons/a/a3/Eq_it-na_pizza-margherita_sep2005_sml.jpg
3;Pita;Pita (/ˈpɪtə/ or US: /ˈpiːtə/) or pitta (British English), is a family of yeast-leavened round flatbreads baked from wheat flour, common in the Mediterranean, Middle East, and neighboring areas. It includes the widely known version with an interior pocket, also known as Arabic bread (Arabic: khubz ʿarabī), Syrian bread, and other names, as well as pocketless versions such as the Greek pita, used to wrap souvlaki. ;3.00 €;1;3;https://upload.wikimedia.org/wikipedia/commons/2/23/Nablus_souq_pita_118_-_Aug_2011.jpg
4;Rieska;Rieska (pronounced ['ries.ka]) is unleavened, usually barley-based, soft flat bread. They are often served warm and buttered and consumed with milk. The most simple rieskas contain only flour, salt, and water, but industrial bakeries usually use yeast as well. Rieskas are baked in the oven but they may be baked on a frying pan (like pancake) or even on a heated stone as well. ;2.50 €;1;4;https://en.wikipedia.org/wiki/Finnish_bread#/media/File:Rye_and_Potato_rieska_-_1.JPG
5;Anadama bread;Anadama bread is a traditional yeast bread of New England in the United States made with wheat flour, cornmeal, molasses and sometimes rye flour.;2.00 €;2;5;https://en.wikipedia.org/wiki/List_of_breads#/media/File:Anadama_bread_(1).jpg
6;Bagel;"A bagel (Yiddish: בײגל‎ beygl; Polish: bajgiel), also historically spelled beigel, is a bread product originating in the Jewish communities of Poland. It is traditionally shaped by hand into the form of a ring from yeasted wheat dough, roughly hand-sized, that is first boiled for a short time in water and then baked. The result is a dense, chewy, doughy interior with a browned and sometimes crisp exterior. ";1.00 €;2;6;https://en.wikipedia.org/wiki/Bagel#/media/File:Bagel-Plain-Alt.jpg
7;Baguette;"A baguette (/bæˈɡɛt/; French: [baɡɛt]) is a long, thin loaf of French bread that is commonly made from basic lean dough (the dough, though not the shape, is defined by French law). It is distinguishable by its length and crisp crust.";3.30 €;2;7;https://en.wikipedia.org/wiki/Baguette#/media/File:Baguettes_-_stonesoup.jpg
8;Fougasse;In French cuisine, fougasse is a type of bread typically associated with Provence but found (with variations) in other regions. Some versions are sculpted or slashed into a pattern resembling an ear of wheat.;4.00 €;2;7;https://en.wikipedia.org/wiki/Fougasse_(bread)#/media/File:Fougasse_1.jpg
9;Cottage loaf;A cottage loaf is a traditional type of bread originating in England. The loaf is characterised by its shape, which is essentially that of two round loaves, one on top of the other, with the upper one being smaller: the shape is similar to that of the French brioche and the pain chapeau of Finistère.;6.40 €;2;2;https://en.wikipedia.org/wiki/Cottage_loaf#/media/File:Cottage_loaf_2.jpg
10;Dosa;A dosa is a rice pancake, originating from South India, made from a fermented batter. It is somewhat similar to a crepe in appearance. Its main ingredients are rice and black gram, ground together in a fine, smooth batter with a dash of salt. Dosas are a typical part of diets throughout South India street foodie official, but the dish is now popular all over the Indian subcontinent. Traditionally, dosas are served hot along with sambar and chutney.;1.50 €;3;8;https://en.wikipedia.org/wiki/Dosa#/media/File:Dosa_at_Sri_Ganesha_Restauran,_Bangkok_(44570742744).jpg
